rank,tax,statistic,p.value,parameter,method,p.adj,10%Fat,60%Fat,Oleate,max,min,LDAscore,direction
Class,Actinobacteria,6.252336468,0.043885635,2,Kruskal-Wallis rank sum test,0.069204271,2912.479977,112564.1109,0,112564.1109,0,4.75,60%Fat
Class,Bacilli,6.723677249,0.034671453,2,Kruskal-Wallis rank sum test,0.069204271,457315.3032,117648.2047,163612.0848,457315.3032,117648.2047,5.23,10%Fat
Class,Clostridia,3.090677656,0.213239607,2,Kruskal-Wallis rank sum test,0.249794969,NA,NA,NA,NA,NA,NA,NA
Family,Actinobacteria,6.252336468,0.043885635,2,Kruskal-Wallis rank sum test,0.069204271,2912.479977,112564.1109,0,112564.1109,0,4.75,60%Fat
Family,Bacilli,7.137848482,0.028186159,2,Kruskal-Wallis rank sum test,0.064201806,418130.9669,79220.85624,124494.3687,418130.9669,79220.85624,5.23,10%Fat
Family,Bacilli,8.653102164,0.01321304,2,Kruskal-Wallis rank sum test,0.038695331,0,5937.420062,20492.09812,20492.09812,0,4.01,Oleate
Family,Bacilli,2.792723432,0.247495788,2,Kruskal-Wallis rank sum test,0.26018788,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,3.871123252,0.144343179,2,Kruskal-Wallis rank sum test,0.197269011,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,35.57889148,1.88E-08,2,Kruskal-Wallis rank sum test,2.57E-07,14337.39854,2215067.646,103476.5732,2215067.646,14337.39854,6.04,60%Fat
Family,Clostridia,29.88650197,3.24E-07,2,Kruskal-Wallis rank sum test,2.21E-06,3906047.428,2229724.244,5018211.104,5018211.104,2229724.244,6.14,Oleate
Family,Clostridia,1.900406504,0.386662426,2,Kruskal-Wallis rank sum test,0.386662426,NA,NA,NA,NA,NA,NA,NA
Family,Clostridia,11.47332617,0.003225514,2,Kruskal-Wallis rank sum test,0.012022369,4832359.463,4727284.604,3293312.916,4832359.463,3293312.916,5.89,10%Fat
Family,Clostridia,20.96878469,2.80E-05,2,Kruskal-Wallis rank sum test,0.000143344,283608.9323,404958.0347,1094499.249,1094499.249,283608.9323,5.61,Oleate
Family,Clostridia,3.102398854,0.21199355,2,Kruskal-Wallis rank sum test,0.249794969,NA,NA,NA,NA,NA,NA,NA
Genus,Actinobacteria,6.252336468,0.043885635,2,Kruskal-Wallis rank sum test,0.069204271,2912.479977,112564.1109,0,112564.1109,0,4.75,60%Fat
Genus,Bacilli,7.137848482,0.028186159,2,Kruskal-Wallis rank sum test,0.064201806,418130.9669,79220.85624,124494.3687,418130.9669,79220.85624,5.23,10%Fat
Genus,Bacilli,8.653102164,0.01321304,2,Kruskal-Wallis rank sum test,0.038695331,0,5937.420062,20492.09812,20492.09812,0,4.01,Oleate
Genus,Bacilli,2.792723432,0.247495788,2,Kruskal-Wallis rank sum test,0.26018788,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,3.871123252,0.144343179,2,Kruskal-Wallis rank sum test,0.197269011,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,35.57889148,1.88E-08,2,Kruskal-Wallis rank sum test,2.57E-07,14337.39854,2215067.646,103476.5732,2215067.646,14337.39854,6.04,60%Fat
Genus,Clostridia,28.31945936,7.09E-07,2,Kruskal-Wallis rank sum test,4.15E-06,2059901.654,731698.7716,2496883.725,2496883.725,731698.7716,5.95,Oleate
Genus,Clostridia,3.032043348,0.219583727,2,Kruskal-Wallis rank sum test,0.250081467,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,20.216971,4.07E-05,2,Kruskal-Wallis rank sum test,0.000167003,1649094.361,1300101.407,2401706.295,2401706.295,1300101.407,5.74,Oleate
Genus,Clostridia,7.954867351,0.018733654,2,Kruskal-Wallis rank sum test,0.051205322,54594.17869,11768.16066,79170.15121,79170.15121,11768.16066,4.53,Oleate
Genus,Clostridia,2.235814273,0.326963369,2,Kruskal-Wallis rank sum test,0.335137453,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,7.477783133,0.023780448,2,Kruskal-Wallis rank sum test,0.060937397,51002.62644,72646.24072,22487.13615,72646.24072,22487.13615,4.4,60%Fat
Genus,Clostridia,9.524615109,0.008545867,2,Kruskal-Wallis rank sum test,0.029198377,731672.9961,950460.5335,1274383.99,1274383.99,731672.9961,5.43,Oleate
Genus,Clostridia,20.63623344,3.30E-05,2,Kruskal-Wallis rank sum test,0.000150467,4049683.84,3704177.83,1996441.79,4049683.84,1996441.79,6.01,10%Fat
Genus,Clostridia,29.89534743,3.22E-07,2,Kruskal-Wallis rank sum test,2.21E-06,62001.90962,90037.60381,811004.4974,811004.4974,62001.90962,5.57,Oleate
Genus,Clostridia,3.091402772,0.21316231,2,Kruskal-Wallis rank sum test,0.249794969,NA,NA,NA,NA,NA,NA,NA
Genus,Clostridia,3.102398854,0.21199355,2,Kruskal-Wallis rank sum test,0.249794969,NA,NA,NA,NA,NA,NA,NA
Kingdom,,NA,NA,2,Kruskal-Wallis rank sum test,NA,NA,NA,NA,NA,NA,NA,NA
Order,Actinobacteria,6.252336468,0.043885635,2,Kruskal-Wallis rank sum test,0.069204271,2912.479977,112564.1109,0,112564.1109,0,4.75,60%Fat
Order,Bacilli,6.409108269,0.040576989,2,Kruskal-Wallis rank sum test,0.069204271,418130.9669,85158.2763,144986.4668,418130.9669,85158.2763,5.22,10%Fat
Order,Bacilli,2.792723432,0.247495788,2,Kruskal-Wallis rank sum test,0.26018788,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,3.871123252,0.144343179,2,Kruskal-Wallis rank sum test,0.197269011,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,35.57889148,1.88E-08,2,Kruskal-Wallis rank sum test,2.57E-07,14337.39854,2215067.646,103476.5732,2215067.646,14337.39854,6.04,60%Fat
Order,Clostridia,29.88650197,3.24E-07,2,Kruskal-Wallis rank sum test,2.21E-06,3906047.428,2229724.244,5018211.104,5018211.104,2229724.244,6.14,Oleate
Order,Clostridia,5.10490512,0.077890401,2,Kruskal-Wallis rank sum test,0.118278016,NA,NA,NA,NA,NA,NA,NA
Order,Clostridia,3.102398854,0.21199355,2,Kruskal-Wallis rank sum test,0.249794969,NA,NA,NA,NA,NA,NA,NA
Phylum,,6.252336468,0.043885635,2,Kruskal-Wallis rank sum test,0.069204271,2912.479977,112564.1109,0,112564.1109,0,4.75,60%Fat
Phylum,,6.252336468,0.043885635,2,Kruskal-Wallis rank sum test,0.069204271,9997087.52,9887435.889,1.00E+07,1.00E+07,9887435.889,4.75,Oleate
